ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2025-05-04T22:00:10.514102461Z,2025-05-04T22:00:10.513136079Z,0,1,42005804,T,B,0,20177.500000000,1,0,14050,32458,NQM5
2025-05-04T22:00:10.557092165Z,2025-05-04T22:00:10.556754929Z,0,1,42005804,T,A,0,20176.000000000,1,0,13813,32546,NQM5
2025-05-04T22:00:10.663877738Z,2025-05-04T22:00:10.663482641Z,0,1,42005804,T,B,0,20177.750000000,2,0,12870,32908,NQM5
2025-05-04T22:00:10.667770095Z,2025-05-04T22:00:10.666656161Z,0,1,42005804,T,A,0,20179.250000000,1,0,13662,33077,NQM5
2025-05-04T22:00:10.686432800Z,2025-05-04T22:00:10.686058955Z,0,1,42005804,T,A,0,20178.250000000,1,0,14005,33209,NQM5
2025-05-04T22:00:10.715963737Z,2025-05-04T22:00:10.715610525Z,0,1,42005804,T,A,0,20175.500000000,1,0,13855,33653,NQM5
2025-05-04T22:00:11.050923826Z,2025-05-04T22:00:11.050611397Z,0,1,42005804,T,B,0,20178.500000000,1,0,13622,34820,NQM5
2025-05-04T22:00:11.057750979Z,2025-05-04T22:00:11.057444021Z,0,1,42005804,T,A,0,20176.750000000,1,0,14254,34849,NQM5
2025-05-04T22:00:11.156952804Z,2025-05-04T22:00:11.156595699Z,0,1,42005804,T,A,0,20175.500000000,1,0,13863,34964,NQM5
2025-05-04T22:00:11.188296299Z,2025-05-04T22:00:11.185682653Z,0,1,42005804,T,B,0,20179.750000000,2,0,12910,35078,NQM5
2025-05-04T22:00:11.191119341Z,2025-05-04T22:00:11.189223621Z,0,1,42005804,T,B,0,20179.750000000,1,0,13233,35216,NQM5
2025-05-04T22:00:11.192085173Z,2025-05-04T22:00:11.191245117Z,0,1,42005804,T,B,0,20180.000000000,1,0,12713,35282,NQM5
2025-05-04T22:00:11.744371469Z,2025-05-04T22:00:11.744026803Z,0,1,42005804,T,A,0,20175.250000000,1,0,14036,36935,NQM5
2025-05-04T22:00:12.008739382Z,2025-05-04T22:00:12.008374955Z,0,1,42005804,T,B,0,20180.250000000,2,0,13904,37341,NQM5
2025-05-04T22:00:12.009438002Z,2025-05-04T22:00:12.008943403Z,0,1,42005804,T,B,0,20180.750000000,2,0,13665,37367,NQM5
2025-05-04T22:00:12.011572907Z,2025-05-04T22:00:12.011131277Z,0,1,42005804,T,B,0,20181.250000000,1,0,13767,37451,NQM5
2025-05-04T22:00:12.155221190Z,2025-05-04T22:00:12.154791897Z,0,1,42005804,T,A,0,20180.000000000,1,0,13863,38200,NQM5
2025-05-04T22:00:12.672299496Z,2025-05-04T22:00:12.671902389Z,0,1,42005804,T,A,0,20180.500000000,1,0,14613,39031,NQM5
2025-05-04T22:00:12.777427704Z,2025-05-04T22:00:12.776885131Z,0,1,42005804,T,A,0,20180.500000000,2,0,14351,39226,NQM5
2025-05-04T22:00:12.777825806Z,2025-05-04T22:00:12.777443307Z,0,1,42005804,T,A,0,20180.250000000,1,0,12938,39245,NQM5
2025-05-04T22:00:12.778199795Z,2025-05-04T22:00:12.777841439Z,0,1,42005804,T,A,0,20180.000000000,1,0,13884,39256,NQM5
2025-05-04T22:00:12.799013255Z,2025-05-04T22:00:12.793791269Z,0,1,42005804,T,B,0,20181.000000000,1,0,13522,39302,NQM5
2025-05-04T22:00:13.365376103Z,2025-05-04T22:00:13.364839589Z,0,1,42005804,T,B,0,20183.250000000,2,0,13749,40282,NQM5
2025-05-04T22:00:13.379028443Z,2025-05-04T22:00:13.378685443Z,0,1,42005804,T,B,0,20183.500000000,1,0,14209,40350,NQM5
2025-05-04T22:00:13.380133544Z,2025-05-04T22:00:13.379340749Z,0,1,42005804,T,B,0,20184.500000000,1,0,13699,40387,NQM5
2025-05-04T22:00:13.380486959Z,2025-05-04T22:00:13.379814277Z,0,1,42005804,T,A,0,20184.500000000,1,0,13595,40403,NQM5
2025-05-04T22:00:13.382868686Z,2025-05-04T22:00:13.381504701Z,0,1,42005804,T,A,0,20185.500000000,1,0,13570,40527,NQM5
2025-05-04T22:00:13.534849694Z,2025-05-04T22:00:13.534364869Z,0,1,42005804,T,A,0,20184.750000000,3,0,12126,41153,NQM5
2025-05-04T22:00:13.885392014Z,2025-05-04T22:00:13.885022577Z,0,1,42005804,T,A,0,20184.500000000,1,0,14334,41492,NQM5
2025-05-04T22:00:13.963258228Z,2025-05-04T22:00:13.962944625Z,0,1,42005804,T,A,0,20184.500000000,1,0,14851,41542,NQM5
2025-05-04T22:00:14.143037498Z,2025-05-04T22:00:14.142666277Z,0,1,42005804,T,A,0,20184.250000000,1,0,14253,41652,NQM5
2025-05-04T22:00:14.631715105Z,2025-05-04T22:00:14.631398021Z,0,1,42005804,T,A,0,20183.000000000,1,0,14091,42082,NQM5
